Given Address,House Number,Street,City,State,ZIP Code,Full Address,Exact Match
12109 SW 27TH ST OK,12109,Southwest 27th Street,Oklahoma City,Oklahoma,73099,"12109 Southwest 27th Street Oklahoma City, Oklahoma 73099",True
1212 NE 20TH ST OK,1212,Northeast 20th Street,Moore,Oklahoma,73160,"1212 Northeast 20th Street Moore, Oklahoma 73160",True
1212 NW 101ST ST OK,1212,Northwest 101st Street,Oklahoma City,Oklahoma,73114,"1212 Northwest 101st Street Oklahoma City, Oklahoma 73114",True
1216 NW 98TH ST OK,1216,Northwest 98th Street,Oklahoma City,Oklahoma,73114,"1216 Northwest 98th Street Oklahoma City, Oklahoma 73114",True
122 SE 52ND ST OK,122,Southeast 52nd Street,Oklahoma City,Oklahoma,73129,"122 Southeast 52nd Street Oklahoma City, Oklahoma 73129",True
12209 SILVER SPRINGS LN OK,12209,Silver Springs Lane,Oklahoma City,Oklahoma,73099,"12209 Silver Springs Lane Oklahoma City, Oklahoma 73099",True
11337 N BLACKWELDER AVE OK,311,North Blackwelder Avenue,Edmond,Oklahoma,73034,"311 North Blackwelder Avenue Edmond, Oklahoma 73034",False
1136 N VILLA AVE OK,1136,North Villa Avenue,Oklahoma City,Oklahoma,73107,"1136 North Villa Avenue Oklahoma City, Oklahoma 73107",True
1136 NE 8TH ST OK,1136,Northeast 8th Street,Oklahoma City,Oklahoma,73117,"1136 Northeast 8th Street Oklahoma City, Oklahoma 73117",True
1136 SW 39TH ST OK,1136,Southwest 39th Street,Oklahoma City,Oklahoma,73109,"1136 Southwest 39th Street Oklahoma City, Oklahoma 73109",True
1137 NW 11TH ST OK,1137,Northwest 11th Street,Oklahoma City,Oklahoma,73106,"1137 Northwest 11th Street Oklahoma City, Oklahoma 73106",True
11500 N BARNES AVE OK,11500,North Barnes Avenue,Oklahoma City,Oklahoma,73120,"11500 North Barnes Avenue Oklahoma City, Oklahoma 73120",True
11504 N BARNES AVE OK,11504,North Barnes Avenue,Oklahoma City,Oklahoma,73120,"11504 North Barnes Avenue Oklahoma City, Oklahoma 73120",True
11601 HERITAGE SQUARE RD OK,11601,Heritage Square Road,Oklahoma City,Oklahoma,73120,"11601 Heritage Square Road Oklahoma City, Oklahoma 73120",True
11609 TWISTED OAK RD OK,11609,Twisted Oak Road,Oklahoma City,Oklahoma,73120,"11609 Twisted Oak Road Oklahoma City, Oklahoma 73120",True
11800 SHASTA LN OK,11800,Shasta Lane,Oklahoma City,Oklahoma,73162,"11800 Shasta Lane Oklahoma City, Oklahoma 73162",True
11900 SW 7TH ST OK,11900,Southwest 7th Street,Oklahoma City,Oklahoma,73099,"11900 Southwest 7th Street Oklahoma City, Oklahoma 73099",True
12 NE 102ND ST OK,2,Northwest 102nd Street,Oklahoma City,Oklahoma,73114,"2 Northwest 102nd Street Oklahoma City, Oklahoma 73114",False
120 SE 55TH ST OK,120,Southeast 55th Street,Oklahoma City,Oklahoma,73129,"120 Southeast 55th Street Oklahoma City, Oklahoma 73129",True
1321 NE 44TH ST OK,1321,Northeast 44th Street,Oklahoma City,Oklahoma,73111,"1321 Northeast 44th Street Oklahoma City, Oklahoma 73111",True
13212 MAYBERRY PL OK,13212,Mayberry Place,Oklahoma City,Oklahoma,73142,"13212 Mayberry Place Oklahoma City, Oklahoma 73142",True
1323 SE 39TH ST OK,1323,Southeast 39th Street,Oklahoma City,Oklahoma,73129,"1323 Southeast 39th Street Oklahoma City, Oklahoma 73129",True
13233 MARSH LN OK,13233,Marsh Lane,Oklahoma City,Oklahoma,73170,"13233 Marsh Lane Oklahoma City, Oklahoma 73170",True
1324 NE 19TH ST OK,1324,Northeast 19th Street,Oklahoma City,Oklahoma,73111,"1324 Northeast 19th Street Oklahoma City, Oklahoma 73111",True
1325 NE 17TH ST OK,1325,Northeast 17th Street,Oklahoma City,Oklahoma,73111,"1325 Northeast 17th Street Oklahoma City, Oklahoma 73111",True
1325 NE 7TH ST OK,1325,Northeast 7th Street,Oklahoma City,Oklahoma,73117,"1325 Northeast 7th Street Oklahoma City, Oklahoma 73117",True
1332 SW 77TH PL OK,1332,Southwest 77th Place,Oklahoma City,Oklahoma,73159,"1332 Southwest 77th Place Oklahoma City, Oklahoma 73159",True
13324 MARSH LN OK,13324,Marsh Lane,Oklahoma City,Oklahoma,73170,"13324 Marsh Lane Oklahoma City, Oklahoma 73170",True
13400 NW 3RD TER OK,House number not found,Northwest 3rd Terrace,Oklahoma City,Oklahoma,73085,"House number not found Northwest 3rd Terrace Oklahoma City, Oklahoma 73085",False
13504 CREEKSIDE DR OK,13504,Creekside Drive,Oklahoma City,Oklahoma,73131,"13504 Creekside Drive Oklahoma City, Oklahoma 73131",True
12925 CLOVERLEAF LN OK,N/A,N/A,N/A,N/A,N/A,"N/A N/A N/A, N/A N/A",False
1300 NE 16TH ST OK,House number not found,Northeast 16th Street,Oklahoma City,Oklahoma,73117,"House number not found Northeast 16th Street Oklahoma City, Oklahoma 73117",False
1300 NW 101ST ST OK,1300,Northwest 101st Street,Oklahoma City,Oklahoma,73114,"1300 Northwest 101st Street Oklahoma City, Oklahoma 73114",True
1300 NW 22ND ST OK,1300,Northwest 22nd Street,Oklahoma City,Oklahoma,73106,"1300 Northwest 22nd Street Oklahoma City, Oklahoma 73106",True
1300 SE 38TH ST OK,1309,Southeast 38th Street,Oklahoma City,Oklahoma,73129,"1309 Southeast 38th Street Oklahoma City, Oklahoma 73129",False
1300 SW 12TH ST OK,1198,Southwest Lee Boulevard,Lawton,Oklahoma,73501,"1198 Southwest Lee Boulevard Lawton, Oklahoma 73501",False
1304 NE 16TH ST OK,House number not found,Northeast 16th Street,Oklahoma City,Oklahoma,73117,"House number not found Northeast 16th Street Oklahoma City, Oklahoma 73117",False
1308 NE 45TH ST OK,1308,Northeast 45th Street,Oklahoma City,Oklahoma,73111,"1308 Northeast 45th Street Oklahoma City, Oklahoma 73111",True
1308 SE 38TH ST OK,1309,Southeast 38th Street,Oklahoma City,Oklahoma,73129,"1309 Southeast 38th Street Oklahoma City, Oklahoma 73129",False
1309 NE 38TH ST OK,1309,Northeast 38th Street,Oklahoma City,Oklahoma,73111,"1309 Northeast 38th Street Oklahoma City, Oklahoma 73111",True
1310 NE 10TH ST OK,1310,Northeast 10th Street,Oklahoma City,Oklahoma,73117,"1310 Northeast 10th Street Oklahoma City, Oklahoma 73117",True
13100 SW 104TH ST OK,13100,Southwest 104th Street,Oklahoma City,Oklahoma,73064,"13100 Southwest 104th Street Oklahoma City, Oklahoma 73064",True
1311 SE 39TH ST OK,1311,Southeast 39th Street,Oklahoma City,Oklahoma,73129,"1311 Southeast 39th Street Oklahoma City, Oklahoma 73129",True
1312 SE 38TH ST OK,1309,Southeast 38th Street,Oklahoma City,Oklahoma,73129,"1309 Southeast 38th Street Oklahoma City, Oklahoma 73129",False
13124 CEDAR SPRINGS RD OK,13124,Cedar Springs Road,Oklahoma City,Oklahoma,73120,"13124 Cedar Springs Road Oklahoma City, Oklahoma 73120",True
1316 SE 38TH ST OK,1309,Southeast 38th Street,Oklahoma City,Oklahoma,73129,"1309 Southeast 38th Street Oklahoma City, Oklahoma 73129",False
1321 NE 17TH ST OK,1321,Northeast 17th Street,Oklahoma City,Oklahoma,73111,"1321 Northeast 17th Street Oklahoma City, Oklahoma 73111",True
12310 SW 15TH TER OK,12310,Southwest 15th Terrace,Oklahoma City,Oklahoma,73099,"12310 Southwest 15th Terrace Oklahoma City, Oklahoma 73099",True
1232 SW 28TH ST OK,1232,Southwest 28th Street,Oklahoma City,Oklahoma,73109,"1232 Southwest 28th Street Oklahoma City, Oklahoma 73109",True
124 SW 148TH ST OK,124,Southwest 148th Street,Oklahoma City,Oklahoma,73170,"124 Southwest 148th Street Oklahoma City, Oklahoma 73170",True
1249 STATON DR OK,1249,Staton Drive,Oklahoma City,Oklahoma,73111,"1249 Staton Drive Oklahoma City, Oklahoma 73111",True
12510 ABBOTTS WAY OK,12510,Abbotts Way,Oklahoma City,Oklahoma,73142,"12510 Abbotts Way Oklahoma City, Oklahoma 73142",True
12601 S PENNSYLVANIA AVE OK,12601,South Pennsylvania Avenue,Oklahoma City,Oklahoma,73170,"12601 South Pennsylvania Avenue Oklahoma City, Oklahoma 73170",True
12621 NE 36TH ST OK,12621,Northeast 36th Street,Oklahoma City,Oklahoma,73084,"12621 Northeast 36th Street Oklahoma City, Oklahoma 73084",True
12800 SW 58TH ST OK,2552,Southwest 58th Street,Oklahoma City,Oklahoma,73119,"2552 Southwest 58th Street Oklahoma City, Oklahoma 73119",False
12917 HIGH PLAINS AVE OK,House number not found,High Plains Avenue,Oklahoma City,Oklahoma,73162,"House number not found High Plains Avenue Oklahoma City, Oklahoma 73162",False
12920 CLOVERLEAF LN OK,N/A,N/A,N/A,N/A,N/A,"N/A N/A N/A, N/A N/A",False
